Year,Soziodemografische Merkmale,Value
2008,Geringqualifizierte SH,30.3
2009,Geringqualifizierte SH,31.6
2010,Geringqualifizierte SH,32.0
2011,Geringqualifizierte SH,32.8
2012,Geringqualifizierte SH,33.7
2013,Geringqualifizierte SH,32.5
2014,Geringqualifizierte SH,32.6
2015,Geringqualifizierte SH,34.3
2016,Geringqualifizierte SH,34.8
2017,Geringqualifizierte SH,33.6
2018,Geringqualifizierte SH,35.8
2019,Geringqualifizierte SH,35.0
2020,Geringqualifizierte SH,35.3
2021,Geringqualifizierte SH,33.2
2022,Geringqualifizierte SH,31.2
2023,Geringqualifizierte SH,31.8
2024,Geringqualifizierte SH,34.0
2005,Ohne deutsche Staatsangehörigkeit SH,44.2
2006,Ohne deutsche Staatsangehörigkeit SH,37.7
2007,Ohne deutsche Staatsangehörigkeit SH,39.6
2008,Ohne deutsche Staatsangehörigkeit SH,40.2
2009,Ohne deutsche Staatsangehörigkeit SH,43.9
2010,Ohne deutsche Staatsangehörigkeit SH,42.4
2011,Ohne deutsche Staatsangehörigkeit SH,40.2
2012,Ohne deutsche Staatsangehörigkeit SH,38.3
2013,Ohne deutsche Staatsangehörigkeit SH,42.4
2014,Ohne deutsche Staatsangehörigkeit SH,37.9
2015,Ohne deutsche Staatsangehörigkeit SH,39.9
2016,Ohne deutsche Staatsangehörigkeit SH,45.0
2017,Ohne deutsche Staatsangehörigkeit SH,50.0
2018,Ohne deutsche Staatsangehörigkeit SH,52.5
2019,Ohne deutsche Staatsangehörigkeit SH,48.3
2020,Ohne deutsche Staatsangehörigkeit SH,48.8
2021,Ohne deutsche Staatsangehörigkeit SH,43.6
2022,Ohne deutsche Staatsangehörigkeit SH,38.4
2023,Ohne deutsche Staatsangehörigkeit SH,40.9
2024,Ohne deutsche Staatsangehörigkeit SH,45.0
2005,Mit Migrationshintergrund SH,34.9
2006,Mit Migrationshintergrund SH,32.7
2007,Mit Migrationshintergrund SH,32.2
2008,Mit Migrationshintergrund SH,32.2
2009,Mit Migrationshintergrund SH,35.7
2010,Mit Migrationshintergrund SH,33.4
2011,Mit Migrationshintergrund SH,32.1
2012,Mit Migrationshintergrund SH,31.2
2013,Mit Migrationshintergrund SH,31.9
2014,Mit Migrationshintergrund SH,30.5
2015,Mit Migrationshintergrund SH,33.5
2016,Mit Migrationshintergrund SH,34.9
2017,Mit Migrationshintergrund SH,36.0
2018,Mit Migrationshintergrund SH,37.2
2019,Mit Migrationshintergrund SH,35.1
2020,Mit Migrationshintergrund SH,35.4
2021,Mit Migrationshintergrund SH,31.2
2022,Mit Migrationshintergrund SH,31.6
2023,Mit Migrationshintergrund SH,31.9
2024,Mit Migrationshintergrund SH,33.5
2005,Insgesamt DE,
2006,Insgesamt DE,
2007,Insgesamt DE,
2008,Insgesamt DE,
2009,Insgesamt DE,
2010,Insgesamt DE,
2011,Insgesamt DE,
2012,Insgesamt DE,
2013,Insgesamt DE,
2014,Insgesamt DE,
2015,Insgesamt DE,
2016,Insgesamt DE,
2017,Insgesamt DE,
2018,Insgesamt DE,
2019,Insgesamt DE,
2020,Insgesamt DE,
2021,Insgesamt DE,
2022,Insgesamt DE,
2023,Insgesamt DE,
2024,Insgesamt DE,
2005,Alleinerziehende mit Kind/ern DE,
2006,Alleinerziehende mit Kind/ern DE,
2007,Alleinerziehende mit Kind/ern DE,
2008,Alleinerziehende mit Kind/ern DE,
2009,Alleinerziehende mit Kind/ern DE,
2010,Alleinerziehende mit Kind/ern DE,
2011,Alleinerziehende mit Kind/ern DE,
2012,Alleinerziehende mit Kind/ern DE,
2013,Alleinerziehende mit Kind/ern DE,
2014,Alleinerziehende mit Kind/ern DE,
2015,Alleinerziehende mit Kind/ern DE,
2016,Alleinerziehende mit Kind/ern DE,
2017,Alleinerziehende mit Kind/ern DE,
2018,Alleinerziehende mit Kind/ern DE,
2019,Alleinerziehende mit Kind/ern DE,
2020,Alleinerziehende mit Kind/ern DE,
2021,Alleinerziehende mit Kind/ern DE,
2022,Alleinerziehende mit Kind/ern DE,
2023,Alleinerziehende mit Kind/ern DE,
2024,Alleinerziehende mit Kind/ern DE,
2005,Paar mit drei oder mehr Kindern DE,
2006,Paar mit drei oder mehr Kindern DE,
2007,Paar mit drei oder mehr Kindern DE,
2008,Paar mit drei oder mehr Kindern DE,
2009,Paar mit drei oder mehr Kindern DE,
2010,Paar mit drei oder mehr Kindern DE,
2011,Paar mit drei oder mehr Kindern DE,
2012,Paar mit drei oder mehr Kindern DE,
2013,Paar mit drei oder mehr Kindern DE,
2014,Paar mit drei oder mehr Kindern DE,
2015,Paar mit drei oder mehr Kindern DE,
2016,Paar mit drei oder mehr Kindern DE,
2017,Paar mit drei oder mehr Kindern DE,
2018,Paar mit drei oder mehr Kindern DE,
2019,Paar mit drei oder mehr Kindern DE,
2020,Paar mit drei oder mehr Kindern DE,
2021,Paar mit drei oder mehr Kindern DE,
2022,Paar mit drei oder mehr Kindern DE,
2023,Paar mit drei oder mehr Kindern DE,
2024,Paar mit drei oder mehr Kindern DE,
2005,Erwerbslose DE,
2006,Erwerbslose DE,
2007,Erwerbslose DE,
2008,Erwerbslose DE,
2009,Erwerbslose DE,
2010,Erwerbslose DE,
2011,Erwerbslose DE,
2012,Erwerbslose DE,
2013,Erwerbslose DE,
2014,Erwerbslose DE,
2015,Erwerbslose DE,
2016,Erwerbslose DE,
2017,Erwerbslose DE,
2018,Erwerbslose DE,
2019,Erwerbslose DE,
2020,Erwerbslose DE,
2021,Erwerbslose DE,
2022,Erwerbslose DE,
2023,Erwerbslose DE,
2024,Erwerbslose DE,
2005,Geringqualifizierte DE,
2006,Geringqualifizierte DE,
2007,Geringqualifizierte DE,
2008,Geringqualifizierte DE,
2009,Geringqualifizierte DE,
2010,Geringqualifizierte DE,
2011,Geringqualifizierte DE,
2012,Geringqualifizierte DE,
2013,Geringqualifizierte DE,
2014,Geringqualifizierte DE,
2015,Geringqualifizierte DE,
2016,Geringqualifizierte DE,
2017,Geringqualifizierte DE,
2018,Geringqualifizierte DE,
2019,Geringqualifizierte DE,
2020,Geringqualifizierte DE,
2021,Geringqualifizierte DE,
2022,Geringqualifizierte DE,
2023,Geringqualifizierte DE,
2024,Geringqualifizierte DE,
2005,Ohne deutsche Staatsangehörigkeit DE,
2006,Ohne deutsche Staatsangehörigkeit DE,
2007,Ohne deutsche Staatsangehörigkeit DE,
2008,Ohne deutsche Staatsangehörigkeit DE,
2009,Ohne deutsche Staatsangehörigkeit DE,
2010,Ohne deutsche Staatsangehörigkeit DE,
2011,Ohne deutsche Staatsangehörigkeit DE,
2012,Ohne deutsche Staatsangehörigkeit DE,
2013,Ohne deutsche Staatsangehörigkeit DE,
2014,Ohne deutsche Staatsangehörigkeit DE,
2015,Ohne deutsche Staatsangehörigkeit DE,
2016,Ohne deutsche Staatsangehörigkeit DE,
2017,Ohne deutsche Staatsangehörigkeit DE,
2018,Ohne deutsche Staatsangehörigkeit DE,
2019,Ohne deutsche Staatsangehörigkeit DE,
2020,Ohne deutsche Staatsangehörigkeit DE,
2021,Ohne deutsche Staatsangehörigkeit DE,
2022,Ohne deutsche Staatsangehörigkeit DE,
2023,Ohne deutsche Staatsangehörigkeit DE,
2024,Ohne deutsche Staatsangehörigkeit DE,
2005,Mit Migrationshintergrund DE,
2006,Mit Migrationshintergrund DE,
2007,Mit Migrationshintergrund DE,
2008,Mit Migrationshintergrund DE,
2009,Mit Migrationshintergrund DE,
2010,Mit Migrationshintergrund DE,
2011,Mit Migrationshintergrund DE,
2012,Mit Migrationshintergrund DE,
2013,Mit Migrationshintergrund DE,
2014,Mit Migrationshintergrund DE,
2015,Mit Migrationshintergrund DE,
2016,Mit Migrationshintergrund DE,
2017,Mit Migrationshintergrund DE,
2018,Mit Migrationshintergrund DE,
2019,Mit Migrationshintergrund DE,
2020,Mit Migrationshintergrund DE,
2021,Mit Migrationshintergrund DE,
2022,Mit Migrationshintergrund DE,
2023,Mit Migrationshintergrund DE,
2024,Mit Migrationshintergrund DE,
